Date,High,Low,Mid,Last,Bid,Ask,Volume,First
2021-12-22,2.6546,2.3993,2.48265,2.4839,2.4816,2.4837,3452810.87454936,2.3937
2021-12-23,2.7341,2.4903,2.62325,2.6131,2.6222,2.6243,3204988.16756515,2.4839
2021-12-24,2.6695,2.427,2.4707,2.473,2.4697,2.4717,1524487.13425003,2.6131
2021-12-25,2.7025,2.4766,2.7021,2.6999,2.7,2.7042,883096.16640935,2.473
2021-12-26,2.9008,2.6162,2.8781,2.8802,2.876,2.8802,1215362.65058418,2.6999
2021-12-27,2.9254,2.668,2.6687,2.668,2.6674,2.67,462152.1885501,2.8802
2021-12-28,2.7097,2.45,2.54765,2.5376,2.5464,2.5489,1351708.68704263,2.668
2021-12-29,2.617,2.4056,2.4262,2.4241,2.4226,2.4298,976058.0712012,2.5376
2021-12-30,2.5939,2.4263,2.5683,2.5692,2.5675,2.5691,1098491.91838845,2.4241
2021-12-31,2.6746,2.4426,2.53915,2.5458,2.5381,2.5402,1766413.58354457,2.5692
2022-01-01,2.6029,2.4993,2.55485,2.561,2.5545,2.5552,940557.58097247,2.5458
2022-01-02,2.5856,2.5048,2.5296,2.5276,2.5275,2.5317,503963.71599634,2.561
2022-01-03,2.5294,2.3603,2.4101,2.4113,2.4086,2.4116,810789.92517621,2.5276
2022-01-04,2.5054,2.3516,2.37595,2.3794,2.3752,2.3767,945876.4589479,2.4113
2022-01-05,2.4489,2.0189,2.2051,2.2041,2.2045,2.2057,3038960.27023384,2.3794
2022-01-06,2.2901,2.0693,2.22915,2.2324,2.2288,2.2295,3967560.96965333,2.2041
2022-01-07,2.2381,2.0417,2.06095,2.0614,2.0604,2.0615,3249372.54445875,2.2324
2022-01-08,2.143,1.9007,1.9876,1.9906,1.987,1.9882,2225758.22000081,2.0614
2022-01-09,2.1688,1.9855,2.12825,2.1297,2.1277,2.1288,1332497.67676595,1.9906
2022-01-10,2.146,1.9226,2.05565,2.0688,2.0551,2.0562,2140332.03048726,2.1297
2022-01-11,2.3882,2.0471,2.379,2.3813,2.3775,2.3805,2918562.87863719,2.0688
2022-01-12,2.4504,2.3095,2.43205,2.4278,2.4311,2.433,1696017.37894368,2.3813
2022-01-13,2.436,2.2329,2.2736,2.2731,2.2726,2.2746,1539670.25859581,2.4278
2022-01-14,2.3516,2.1847,2.34345,2.3439,2.3428,2.3441,1988347.4355194,2.2731
2022-01-15,2.3975,2.2979,2.3524,2.3474,2.3514,2.3534,974757.23197812,2.3439
2022-01-16,2.3755,2.2866,2.3346,2.338,2.334,2.3352,778683.76369644,2.3474
2022-01-17,2.4513,2.1665,2.2343,2.2338,2.2337,2.2349,1630110.84018567,2.338
2022-01-18,2.2446,2.081,2.12465,2.1218,2.1242,2.1251,2411850.44527958,2.2338
2022-01-19,2.1413,2.0136,2.0445,2.045,2.044,2.045,1068200.68787045,2.1218
2022-01-20,2.1935,1.9457,1.97025,1.969,1.9698,1.9707,1222991.94853786,2.045
2022-01-21,2.0254,1.6437,1.68795,1.6878,1.6871,1.6888,3824219.27503751,1.969
2022-01-22,1.756,1.3943,1.53785,1.5409,1.5365,1.5392,6019221.98753018,1.6878
2022-01-23,1.6698,1.512,1.58575,1.5864,1.5847,1.5868,1894524.39786642,1.5409
2022-01-24,1.5796,1.3095,1.4981,1.4994,1.4974,1.4988,5463860.28185774,1.5864
2022-01-25,1.6102,1.4125,1.54345,1.5439,1.543,1.5439,1179018.76733648,1.4994
2022-01-26,1.8219,1.5268,1.61015,1.617,1.6095,1.6108,1925559.67733109,1.5439
2022-01-27,1.6681,1.499,1.5974,1.5992,1.5969,1.5979,1565599.97221282,1.617
2022-01-28,1.7003,1.565,1.69165,1.6913,1.6907,1.6926,1074321.59937376,1.5992
2022-01-29,1.7404,1.6509,1.70205,1.7024,1.7015,1.7026,611462.85411104,1.6913
2022-01-30,1.709,1.5776,1.5888,1.5917,1.5881,1.5895,406573.15849287,1.7024
2022-01-31,1.653,1.5253,1.63905,1.6418,1.6384,1.6397,551968.51823907,1.5917
2022-02-01,1.68,1.6147,1.6526,1.6525,1.6522,1.653,578465.79713353,1.6418
2022-02-02,1.6652,1.5227,1.5429,1.5428,1.5417,1.5441,652996.67694731,1.6525
2022-02-03,1.5631,1.477,1.5417,1.5432,1.5409,1.5425,1347748.74606433,1.5428
2022-02-04,1.7098,1.5394,1.69795,1.6977,1.6974,1.6985,650075.79067547,1.5432
2022-02-05,1.7575,1.678,1.7274,1.7291,1.7269,1.7279,337315.29632039,1.6977
2022-02-06,1.755,1.6699,1.72685,1.7238,1.7261,1.7276,231124.26891139,1.7291
2022-02-07,2.0855,1.7002,1.9805,1.9731,1.9783,1.9827,1299113.06372913,1.7238
2022-02-08,2.0497,1.8618,1.95545,1.9503,1.9548,1.9561,935345.50341446,1.9731
